RMA;Real Madrid;Madrid;España;Smartbank;Santiago Bernabeu;1111
JUV;Juventus;Turín;Italia;Serie A;Estadio Juventus;3333
ROM;Roma;Roma;Italia;Serie A;Olímpico de Roma;4444
UNI;Manchester United;Mánchester;Inglaterra;Premier League;Old Trafford;5555
CIT;Manchester City;Mánchester;Inglaterra;Premier League;Etihad Stadium;6666
CHE;Chelsea;Londres;Inglaterra;Premier League;Stamford Bridge;7777
AJA;Ajax;Ámsterdam;Holanda;Eredivisie;Amsterdam Arena;8888
BOC;Boca Juniors;Buenos Aires;Argentina;Primera División Argentina;La Bombonera;9999
BAY;Bayern Munich;Múnich;Alemania;Bundesliga;Allianz Arena;0001
BOR;Borussia Dortmund;Dortmund;Alemania;Bundesliga;Signal Iduna Park;0002
BLE;Bayer Leverkusen;Leverkusen;Alemania;Bundesliga;BayArena;0003
VAL;Valencia;Valencia;España;Smartbank;Mestalla;0004
VIL;Villarreal;Villarreal;España;Smartbank;La Cerámica;0005
BET;Real Betis;Sevilla;España;Smartbank;Benito Villamarín;0006
SEV;Sevilla;Sevilla;España;Smartbank;Ramón Sánchez-Pizjuán;0007
LIV;Liverpool;Liverpool;Inglaterra;Premier League;Anfield;0008
ARS;Arsenal;Londres;Inglaterra;Premier League;Emirates Stadium;0009
PSG;Paris Saint Germain;París;Francia;Ligue 1;Parque de los príncipes;0010
LYO;Olympique de Lyon;Lyon;Francia;Ligue 1;Parc Olympique Lyonnais;0011
MAR;Olympique de Marsella;Marsella;Francia;Ligue 1;Vélodrome;0012
FCB;Barcelona;Barcelona;España;Smartbank;Camp Nou;2222
ATM;Atlético de Madrid;Madrid;España;Smartbank;Wanda Metropolitano;0013
ACM;AC Milan;Milán;Italia;Serie A;San Siro;0014
INT;Inter de Milan;Milán;Italia;Serie A;San Siro;0015
